Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression (Untuned - Original),0.9489744872436218,0.8222222222222222,0.6788990825688074,0.7437185929648241
Decision Tree (Untuned - Original),1.0,1.0,1.0,1.0
Random Forest (Untuned - Original),1.0,1.0,1.0,1.0
Logistic Regression (Tuned - Original),0.9489744872436218,0.8222222222222222,0.6788990825688074,0.7437185929648241
Decision Tree (Tuned - Original),1.0,1.0,1.0,1.0
Random Forest (Tuned - Original),1.0,1.0,1.0,1.0
Logistic Regression (Untuned - Revised),0.896448224112056,0.9230769230769231,0.05504587155963303,0.1038961038961039
Decision Tree (Untuned - Revised),0.8564282141070535,0.35684647302904565,0.3944954128440367,0.3747276688453159
Random Forest (Untuned - Revised),0.9259629814907454,0.9605263157894737,0.3348623853211009,0.4965986394557823
Logistic Regression (Tuned - Revised),0.896448224112056,0.9230769230769231,0.05504587155963303,0.1038961038961039
Decision Tree (Tuned - Revised),0.9234617308654327,0.8735632183908046,0.3486238532110092,0.49836065573770494
Random Forest (Tuned - Revised),0.9249624812406203,0.9594594594594594,0.3256880733944954,0.4863013698630137
